2024-04-10 17:22:52.2598 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PAIV3LAUR" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-10 17:22:52.2598 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PAIV3LAUR" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-10 17:22:52.2598 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PAIV3LAUR" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-10 17:22:52.2598 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PAIV3LAUR" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-10 17:22:52.2598 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PAIV3LAUR" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-10 17:22:52.2598 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PAIV3LAUR" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-10 17:22:52.2598 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PAIV3LAUR" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-10 17:22:52.2598 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PAIV3LAUR" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-10 17:22:52.2598 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PAIV3LAUR" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-10 17:22:52.2598 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PAIV3LAUR" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-10 17:22:52.2598 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PAIV3LAUR" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-10 17:22:52.2598 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PAIV3LAUR" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-10 17:22:52.2598 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PAIV3LAUR" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-10 17:22:52.2598 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PAIV3LAUR" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-10 17:22:52.2598 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PAIV3LAUR" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-10 17:22:52.2598 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PAIV3LAUR" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-10 17:22:52.2598 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PAIV3LAUR" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-10 17:22:52.2598 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PAIV3LAUR" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-10 17:22:52.2598 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PAIV3LAUR" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-10 17:22:52.2598 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PAIV3LAUR" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-10 17:22:52.2598 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PAIV3LAUR" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-10 17:22:52.2686 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PAIV3LAUR" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-10 17:22:52.2686 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PAIV3LAUR" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-10 17:22:52.2686 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PAIV3LAUR" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-10 17:22:52.2686 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PAIV3LAUR" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-10 17:22:52.2686 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PAIV3LAUR" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-10 17:22:52.2686 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PAIV3LAUR" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-10 17:22:52.2686 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PAIV3LAUR" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-10 17:22:52.2686 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PAIV3LAUR" sending DATA frame for stream ID 5 with length 9517 and flags NONE.
2024-04-10 17:22:52.2686 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PAIV3LAUR" sending DATA frame for stream ID 5 with length 0 and flags END_STREAM.
2024-04-10 17:22:52.3733 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PAIV3LAUR" received HEADERS frame for stream ID 7 with length 66 and flags END_STREAM, END_HEADERS, PRIORITY.
2024-04-10 17:22:52.3733 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed.
2024-04-10 17:22:52.7089 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PAIV3LAUR" sending HEADERS frame for stream ID 7 with length 35 and flags END_HEADERS.
2024-04-10 17:22:52.7089 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PAIV3LAUR" sending DATA frame for stream ID 7 with length 1863 and flags NONE.
2024-04-10 17:22:52.7089 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PAIV3LAUR" sending DATA frame for stream ID 7 with length 0 and flags END_STREAM.
2024-04-10 17:23:06.7601 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PAIV3LAUS" sending SETTINGS frame for stream ID 0 with length 18 and flags NONE.
2024-04-10 17:23:06.7601 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PAIV3LAUS" sending WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0.
2024-04-10 17:23:06.7601 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PAIV3LAUS" received SETTINGS frame for stream ID 0 with length 24 and flags NONE.
2024-04-10 17:23:06.7601 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PAIV3LAUS" sending SETTINGS frame for stream ID 0 with length 0 and flags ACK.
2024-04-10 17:23:06.7601 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PAIV3LAUS" received WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0.
2024-04-10 17:23:06.7601 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PAIV3LAUS" received HEADERS frame for stream ID 1 with length 372 and flags END_STREAM, END_HEADERS, PRIORITY.
2024-04-10 17:23:06.7601 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PAIV3LAUS" received SETTINGS frame for stream ID 0 with length 0 and flags ACK.
2024-04-10 17:23:06.7601 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed.
2024-04-10 17:23:06.8547 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Authorization Filter: Before executing OnAuthorization on filter BillingAPI.Filters.AuthenticationFilter.
2024-04-10 17:24:06.0497 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Authorization Filter: After executing OnAuthorization on filter BillingAPI.Filters.AuthenticationFilter.
2024-04-10 17:24:06.0497 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Authorization Filter: Before executing OnAuthorization on filter BillingAPI.Filters.AuthorizationFilter.
2024-04-10 17:24:13.3572 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Authorization Filter: After executing OnAuthorization on filter BillingAPI.Filters.AuthorizationFilter.
2024-04-10 17:24:15.1924 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Action Filter: Before executing OnActionExecuting on filter Microsoft.AspNetCore.Mvc.ModelBinding.UnsupportedContentTypeFilter.
2024-04-10 17:24:15.1924 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Action Filter: After executing OnActionExecuting on filter Microsoft.AspNetCore.Mvc.ModelBinding.UnsupportedContentTypeFilter.
2024-04-10 17:24:15.1924 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Action Filter: Before executing OnActionExecuting on filter Microsoft.AspNetCore.Mvc.Infrastructure.ModelStateInvalidFilter.
2024-04-10 17:24:15.1924 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Action Filter: After executing OnActionExecuting on filter Microsoft.AspNetCore.Mvc.Infrastructure.ModelStateInvalidFilter.
2024-04-10 17:24:19.8755 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Action Filter: Before executing OnActionExecuted on filter Microsoft.AspNetCore.Mvc.Infrastructure.ModelStateInvalidFilter.
2024-04-10 17:24:19.8755 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Action Filter: After executing OnActionExecuted on filter Microsoft.AspNetCore.Mvc.Infrastructure.ModelStateInvalidFilter.
2024-04-10 17:24:19.8755 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Action Filter: Before executing OnActionExecuted on filter Microsoft.AspNetCore.Mvc.ModelBinding.UnsupportedContentTypeFilter.
