2024-04-26 11:04:53.0096 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN35MAAUPNNP" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-26 11:04:53.0096 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN35MAAUPNNP" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-26 11:04:53.0096 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN35MAAUPNNP" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-26 11:04:53.0096 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN35MAAUPNNP" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-26 11:04:53.0096 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN35MAAUPNNP" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-26 11:04:53.0096 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN35MAAUPNNP" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-26 11:04:53.0096 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN35MAAUPNNP" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-26 11:04:53.0096 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN35MAAUPNNP" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-26 11:04:53.0096 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN35MAAUPNNP" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-26 11:04:53.0096 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN35MAAUPNNP" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-26 11:04:53.0096 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN35MAAUPNNP" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-26 11:04:53.0096 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN35MAAUPNNP" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-26 11:04:53.0096 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN35MAAUPNNP" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-26 11:04:53.0096 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN35MAAUPNNP" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-26 11:04:53.0096 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN35MAAUPNNP" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-26 11:04:53.0096 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN35MAAUPNNP" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-26 11:04:53.0096 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN35MAAUPNNP" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-26 11:04:53.0096 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN35MAAUPNNP" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-26 11:04:53.0096 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN35MAAUPNNP" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-26 11:04:53.0096 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN35MAAUPNNP" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-26 11:04:53.0096 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN35MAAUPNNP" sending DATA frame for stream ID 5 with length 9517 and flags NONE.
2024-04-26 11:04:53.0188 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN35MAAUPNNP" sending DATA frame for stream ID 5 with length 0 and flags END_STREAM.
2024-04-26 11:04:53.1022 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN35MAAUPNNP" received HEADERS frame for stream ID 7 with length 66 and flags END_STREAM, END_HEADERS, PRIORITY.
2024-04-26 11:04:53.1022 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed.
2024-04-26 11:04:53.7395 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN35MAAUPNNP" sending HEADERS frame for stream ID 7 with length 65 and flags END_HEADERS.
2024-04-26 11:04:53.7395 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN35MAAUPNNP" sending DATA frame for stream ID 7 with length 13392 and flags NONE.
2024-04-26 11:04:53.7395 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN35MAAUPNNP" sending DATA frame for stream ID 7 with length 0 and flags END_STREAM.
2024-04-26 15:08:06.7447 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN35QI85J5Q1" sending SETTINGS frame for stream ID 0 with length 18 and flags NONE.
2024-04-26 15:08:06.7775 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN35QI85J5Q1" sending WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0.
2024-04-26 15:08:06.7775 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN35QI85J5Q1" received SETTINGS frame for stream ID 0 with length 24 and flags NONE.
2024-04-26 15:08:06.7775 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN35QI85J5Q1" sending SETTINGS frame for stream ID 0 with length 0 and flags ACK.
2024-04-26 15:08:06.7775 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN35QI85J5Q1" received WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0.
2024-04-26 15:08:06.7775 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN35QI85J5Q1" received HEADERS frame for stream ID 1 with length 454 and flags END_STREAM, END_HEADERS, PRIORITY.
