2024-05-01 09:36:55.0550 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN39IGFHS6SN" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-05-01 09:36:55.0550 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN39IGFHS6SN" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-05-01 09:36:55.0550 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN39IGFHS6SN" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-05-01 09:36:55.1598 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN39IGFHS6SN" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-05-01 09:36:55.1598 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN39IGFHS6SN" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-05-01 09:36:55.1598 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN39IGFHS6SN" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-05-01 09:36:55.1598 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN39IGFHS6SN" sending DATA frame for stream ID 5 with length 9517 and flags NONE.
2024-05-01 09:36:55.3697 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN39IGFHS6SN" sending DATA frame for stream ID 5 with length 0 and flags END_STREAM.
2024-05-01 09:36:55.5556 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN39IGFHS6SN" received HEADERS frame for stream ID 7 with length 66 and flags END_STREAM, END_HEADERS, PRIORITY.
2024-05-01 09:36:55.5556 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed.
2024-05-01 09:36:56.2385 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN39IGFHS6SN" sending HEADERS frame for stream ID 7 with length 65 and flags END_HEADERS.
2024-05-01 09:36:56.2385 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN39IGFHS6SN" sending DATA frame for stream ID 7 with length 13605 and flags NONE.
2024-05-01 09:36:56.2385 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN39IGFHS6SN" sending DATA frame for stream ID 7 with length 0 and flags END_STREAM.
2024-05-01 09:37:27.0093 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN39IGFHS6SO" sending SETTINGS frame for stream ID 0 with length 18 and flags NONE.
2024-05-01 09:37:27.0093 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN39IGFHS6SO" sending WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0.
2024-05-01 09:37:27.0093 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN39IGFHS6SO" received SETTINGS frame for stream ID 0 with length 24 and flags NONE.
2024-05-01 09:37:27.0093 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN39IGFHS6SO" sending SETTINGS frame for stream ID 0 with length 0 and flags ACK.
2024-05-01 09:37:27.0093 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN39IGFHS6SO" received WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0.
2024-05-01 09:37:27.0093 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN39IGFHS6SO" received HEADERS frame for stream ID 1 with length 404 and flags END_STREAM, END_HEADERS, PRIORITY.
2024-05-01 09:37:27.0093 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN39IGFHS6SO" received SETTINGS frame for stream ID 0 with length 0 and flags ACK.
2024-05-01 09:37:27.0194 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed.
2024-05-01 09:37:27.1065 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Authorization Filter: Before executing OnAuthorization on filter BillingAPI.Filters.AuthenticationFilter.
2024-05-01 09:37:28.9727 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Authorization Filter: After executing OnAuthorization on filter BillingAPI.Filters.AuthenticationFilter.
2024-05-01 09:37:28.9727 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Authorization Filter: Before executing OnAuthorization on filter BillingAPI.Filters.AuthorizationFilter.
2024-05-01 09:37:29.1095 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Authorization Filter: After executing OnAuthorization on filter BillingAPI.Filters.AuthorizationFilter.
2024-05-01 09:37:29.1448 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Action Filter: Before executing OnActionExecuting on filter Microsoft.AspNetCore.Mvc.ModelBinding.UnsupportedContentTypeFilter.
2024-05-01 09:37:29.1448 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Action Filter: After executing OnActionExecuting on filter Microsoft.AspNetCore.Mvc.ModelBinding.UnsupportedContentTypeFilter.
2024-05-01 09:37:29.1448 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Action Filter: Before executing OnActionExecuting on filter Microsoft.AspNetCore.Mvc.Infrastructure.ModelStateInvalidFilter.
2024-05-01 09:37:29.1448 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Action Filter: After executing OnActionExecuting on filter Microsoft.AspNetCore.Mvc.Infrastructure.ModelStateInvalidFilter.
