2024-04-30 09:36:19.9610 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN38PBGS6NRG" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-30 09:36:19.9610 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN38PBGS6NRG" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-30 09:36:19.9610 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN38PBGS6NRG" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-30 09:36:19.9610 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN38PBGS6NRG" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-30 09:36:19.9610 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN38PBGS6NRG" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-30 09:36:19.9610 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN38PBGS6NRG" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-30 09:36:19.9610 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN38PBGS6NRG" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-30 09:36:19.9610 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN38PBGS6NRG" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-30 09:36:19.9610 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN38PBGS6NRG" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-30 09:36:19.9610 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN38PBGS6NRG" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-30 09:36:19.9610 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN38PBGS6NRG" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-30 09:36:19.9610 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN38PBGS6NRG" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-30 09:36:19.9610 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN38PBGS6NRG" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-30 09:36:19.9610 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN38PBGS6NRG" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-30 09:36:19.9610 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN38PBGS6NRG" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-30 09:36:19.9610 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN38PBGS6NRG" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-30 09:36:19.9610 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN38PBGS6NRG" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-30 09:36:19.9610 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN38PBGS6NRG" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-30 09:36:19.9610 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN38PBGS6NRG" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-30 09:36:19.9610 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN38PBGS6NRG" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-30 09:36:19.9610 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN38PBGS6NRG" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-30 09:36:19.9610 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN38PBGS6NRG" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-30 09:36:19.9610 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN38PBGS6NRG" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-30 09:36:19.9610 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN38PBGS6NRG" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-30 09:36:19.9610 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN38PBGS6NRG" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-30 09:36:19.9610 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN38PBGS6NRG" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-30 09:36:19.9610 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN38PBGS6NRG" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-30 09:36:19.9610 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN38PBGS6NRG" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-30 09:36:19.9610 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN38PBGS6NRG" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-30 09:36:19.9610 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN38PBGS6NRG" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-30 09:36:19.9610 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN38PBGS6NRG" sending DATA frame for stream ID 5 with length 9517 and flags NONE.
2024-04-30 09:36:19.9610 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN38PBGS6NRG" sending DATA frame for stream ID 5 with length 0 and flags END_STREAM.
2024-04-30 09:36:20.0509 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN38PBGS6NRG" received HEADERS frame for stream ID 7 with length 66 and flags END_STREAM, END_HEADERS, PRIORITY.
2024-04-30 09:36:20.0509 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed.
2024-04-30 09:36:20.4847 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN38PBGS6NRG" sending HEADERS frame for stream ID 7 with length 35 and flags END_HEADERS.
