2024-04-11 10:02:14.5172 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PS1CVCQC7" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-11 10:02:14.5172 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PS1CVCQC7" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-11 10:02:14.5172 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PS1CVCQC7" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-11 10:02:14.5172 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PS1CVCQC7" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-11 10:02:14.5172 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PS1CVCQC7" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-11 10:02:14.5172 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PS1CVCQC7" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-11 10:02:14.5172 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PS1CVCQC7" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-11 10:02:14.5172 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PS1CVCQC7" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-11 10:02:14.5172 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PS1CVCQC7" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-11 10:02:14.5172 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PS1CVCQC7" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-11 10:02:14.5290 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PS1CVCQC7" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-11 10:02:14.5290 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PS1CVCQC7" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-11 10:02:14.5290 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PS1CVCQC7" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-11 10:02:14.5290 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PS1CVCQC7" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-11 10:02:14.5290 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PS1CVCQC7" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-11 10:02:14.5290 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PS1CVCQC7" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-11 10:02:14.5290 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PS1CVCQC7" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-11 10:02:14.5290 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PS1CVCQC7" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-11 10:02:14.5290 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PS1CVCQC7" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-11 10:02:14.5290 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PS1CVCQC7" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-11 10:02:14.5290 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PS1CVCQC7" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-11 10:02:14.5290 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PS1CVCQC7" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-11 10:02:14.5290 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PS1CVCQC7" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-11 10:02:14.5290 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PS1CVCQC7" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-11 10:02:14.5290 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PS1CVCQC7" sending DATA frame for stream ID 5 with length 9517 and flags NONE.
2024-04-11 10:02:14.5290 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PS1CVCQC7" sending DATA frame for stream ID 5 with length 0 and flags END_STREAM.
2024-04-11 10:02:14.6241 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PS1CVCQC7" received HEADERS frame for stream ID 7 with length 66 and flags END_STREAM, END_HEADERS, PRIORITY.
2024-04-11 10:02:14.6241 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed.
2024-04-11 10:02:15.3773 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PS1CVCQC7" sending HEADERS frame for stream ID 7 with length 65 and flags END_HEADERS.
2024-04-11 10:02:15.3773 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PS1CVCQC7" sending DATA frame for stream ID 7 with length 1863 and flags NONE.
2024-04-11 10:02:15.3773 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PS1CVCQC7" sending DATA frame for stream ID 7 with length 0 and flags END_STREAM.
2024-04-11 10:02:31.4329 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PS1CVCQC8" sending SETTINGS frame for stream ID 0 with length 18 and flags NONE.
2024-04-11 10:02:31.4329 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PS1CVCQC8" sending WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0.
2024-04-11 10:02:31.4329 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PS1CVCQC8" received SETTINGS frame for stream ID 0 with length 24 and flags NONE.
2024-04-11 10:02:31.4329 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PS1CVCQC8" sending SETTINGS frame for stream ID 0 with length 0 and flags ACK.
2024-04-11 10:02:31.4329 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PS1CVCQC8" received WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0.
2024-04-11 10:02:31.4329 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PS1CVCQC8" received HEADERS frame for stream ID 1 with length 372 and flags END_STREAM, END_HEADERS, PRIORITY.
2024-04-11 10:02:31.4329 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PS1CVCQC8" received SETTINGS frame for stream ID 0 with length 0 and flags ACK.
2024-04-11 10:02:31.4329 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed.
2024-04-11 10:02:31.5038 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Authorization Filter: Before executing OnAuthorization on filter BillingAPI.Filters.AuthenticationFilter.
2024-04-11 10:03:17.2710 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PS1CVCQC8" sending HEADERS frame for stream ID 1 with length 68 and flags END_HEADERS.
2024-04-11 10:03:17.2710 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PS1CVCQC8" sending DATA frame for stream ID 1 with length 2106 and flags NONE.
2024-04-11 10:03:17.2710 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PS1CVCQC8" sending DATA frame for stream ID 1 with length 0 and flags END_STREAM.
2024-04-11 10:03:17.2710 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PS1CVCQC8" received WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0.
2024-04-11 10:03:36.5713 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PS1CVCQC9" sending SETTINGS frame for stream ID 0 with length 18 and flags NONE.
2024-04-11 10:03:36.5713 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PS1CVCQC9" sending WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0.
2024-04-11 10:03:36.5713 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PS1CVCQC9" received SETTINGS frame for stream ID 0 with length 24 and flags NONE.
2024-04-11 10:03:36.5713 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PS1CVCQC9" sending SETTINGS frame for stream ID 0 with length 0 and flags ACK.
2024-04-11 10:03:36.5713 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PS1CVCQC9" received WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0.
2024-04-11 10:03:36.5713 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PS1CVCQC9" received HEADERS frame for stream ID 1 with length 372 and flags END_STREAM, END_HEADERS, PRIORITY.
2024-04-11 10:03:36.5713 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PS1CVCQC9" received SETTINGS frame for stream ID 0 with length 0 and flags ACK.
2024-04-11 10:03:36.5713 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed.
2024-04-11 10:03:36.5747 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Authorization Filter: Before executing OnAuthorization on filter BillingAPI.Filters.AuthenticationFilter.
2024-04-11 10:03:45.4284 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PS1CVCQC9" sending HEADERS frame for stream ID 1 with length 68 and flags END_HEADERS.
2024-04-11 10:03:45.4284 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PS1CVCQC9" sending DATA frame for stream ID 1 with length 2106 and flags NONE.
2024-04-11 10:03:45.4284 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PS1CVCQC9" sending DATA frame for stream ID 1 with length 0 and flags END_STREAM.
2024-04-11 10:03:45.4337 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PS1CVCQC9" received WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0.
2024-04-11 10:04:13.9808 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PS1CVCQC9" received HEADERS frame for stream ID 3 with length 38 and flags END_STREAM, END_HEADERS, PRIORITY.
2024-04-11 10:04:13.9808 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PS1CVCQC9" received PING frame for stream ID 0 with length 8 and flags NONE.
2024-04-11 10:04:13.9808 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed.
2024-04-11 10:04:13.9808 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PS1CVCQC9" sending PING frame for stream ID 0 with length 8 and flags ACK.
