2024-04-22 17:21:15.6242 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN32O9V5IN9P" sending DATA frame for stream ID 3 with length 10240 and flags NONE.
2024-04-22 17:21:15.6720 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN32O9V5IN9P" sending DATA frame for stream ID 3 with length 10240 and flags NONE.
2024-04-22 17:21:15.6720 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN32O9V5IN9P" sending DATA frame for stream ID 3 with length 10240 and flags NONE.
2024-04-22 17:21:15.6720 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN32O9V5IN9P" sending DATA frame for stream ID 3 with length 10240 and flags NONE.
2024-04-22 17:21:15.6720 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN32O9V5IN9P" sending DATA frame for stream ID 3 with length 10240 and flags NONE.
2024-04-22 17:21:15.6720 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN32O9V5IN9P" sending DATA frame for stream ID 3 with length 10240 and flags NONE.
2024-04-22 17:21:15.6720 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN32O9V5IN9P" sending DATA frame for stream ID 3 with length 9517 and flags NONE.
2024-04-22 17:21:15.6720 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN32O9V5IN9P" sending DATA frame for stream ID 3 with length 0 and flags END_STREAM.
2024-04-22 17:21:15.8176 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN32O9V5IN9P" received HEADERS frame for stream ID 5 with length 66 and flags END_STREAM, END_HEADERS, PRIORITY.
2024-04-22 17:21:15.8225 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed.
2024-04-22 17:21:17.1586 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN32O9V5IN9P" sending HEADERS frame for stream ID 5 with length 65 and flags END_HEADERS.
2024-04-22 17:21:17.1586 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN32O9V5IN9P" sending DATA frame for stream ID 5 with length 12754 and flags NONE.
2024-04-22 17:21:17.1586 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN32O9V5IN9P" sending DATA frame for stream ID 5 with length 0 and flags END_STREAM.
2024-04-22 17:21:29.2502 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN32O9V5IN9Q" sending SETTINGS frame for stream ID 0 with length 18 and flags NONE.
2024-04-22 17:21:29.2502 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN32O9V5IN9Q" sending WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0.
2024-04-22 17:21:29.2502 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN32O9V5IN9Q" received SETTINGS frame for stream ID 0 with length 24 and flags NONE.
2024-04-22 17:21:29.2502 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN32O9V5IN9Q" sending SETTINGS frame for stream ID 0 with length 0 and flags ACK.
2024-04-22 17:21:29.2502 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN32O9V5IN9Q" received WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0.
2024-04-22 17:21:29.2502 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN32O9V5IN9Q" received HEADERS frame for stream ID 1 with length 372 and flags END_STREAM, END_HEADERS, PRIORITY.
2024-04-22 17:21:29.2502 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed.
2024-04-22 17:21:29.2813 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN32O9V5IN9Q" received SETTINGS frame for stream ID 0 with length 0 and flags ACK.
2024-04-22 17:21:29.4057 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Authorization Filter: Before executing OnAuthorization on filter BillingAPI.Filters.AuthenticationFilter.
2024-04-22 17:21:35.0776 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Authorization Filter: After executing OnAuthorization on filter BillingAPI.Filters.AuthenticationFilter.
2024-04-22 17:21:35.0776 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Authorization Filter: Before executing OnAuthorization on filter BillingAPI.Filters.AuthorizationFilter.
2024-04-22 17:21:35.4616 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Authorization Filter: After executing OnAuthorization on filter BillingAPI.Filters.AuthorizationFilter.
2024-04-22 17:21:35.4640 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Action Filter: Before executing OnActionExecuting on filter Microsoft.AspNetCore.Mvc.ModelBinding.UnsupportedContentTypeFilter.
2024-04-22 17:21:35.4640 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Action Filter: After executing OnActionExecuting on filter Microsoft.AspNetCore.Mvc.ModelBinding.UnsupportedContentTypeFilter.
2024-04-22 17:21:35.4640 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Action Filter: Before executing OnActionExecuting on filter Microsoft.AspNetCore.Mvc.Infrastructure.ModelStateInvalidFilter.
2024-04-22 17:21:35.4640 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Action Filter: After executing OnActionExecuting on filter Microsoft.AspNetCore.Mvc.Infrastructure.ModelStateInvalidFilter.
2024-04-22 17:21:35.6250 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Action Filter: Before executing OnActionExecuted on filter Microsoft.AspNetCore.Mvc.Infrastructure.ModelStateInvalidFilter.
2024-04-22 17:21:35.6250 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Action Filter: After executing OnActionExecuted on filter Microsoft.AspNetCore.Mvc.Infrastructure.ModelStateInvalidFilter.
2024-04-22 17:21:35.6250 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Action Filter: Before executing OnActionExecuted on filter Microsoft.AspNetCore.Mvc.ModelBinding.UnsupportedContentTypeFilter.
