2024-05-23 10:28:18.9208 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3QSJPSHKPB" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-05-23 10:28:18.9208 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3QSJPSHKPB" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-05-23 10:28:18.9208 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3QSJPSHKPB" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-05-23 10:28:18.9208 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3QSJPSHKPB" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-05-23 10:28:18.9287 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3QSJPSHKPB" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-05-23 10:28:18.9287 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3QSJPSHKPB" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-05-23 10:28:18.9287 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3QSJPSHKPB" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-05-23 10:28:18.9287 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3QSJPSHKPB" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-05-23 10:28:18.9287 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3QSJPSHKPB" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-05-23 10:28:18.9287 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3QSJPSHKPB" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-05-23 10:28:18.9287 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3QSJPSHKPB" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-05-23 10:28:18.9287 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3QSJPSHKPB" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-05-23 10:28:18.9287 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3QSJPSHKPB" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-05-23 10:28:18.9287 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3QSJPSHKPB" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-05-23 10:28:18.9287 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3QSJPSHKPB" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-05-23 10:28:18.9287 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3QSJPSHKPB" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-05-23 10:28:18.9287 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3QSJPSHKPB" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-05-23 10:28:18.9287 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3QSJPSHKPB" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-05-23 10:28:18.9287 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3QSJPSHKPB" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-05-23 10:28:18.9287 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3QSJPSHKPB" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-05-23 10:28:18.9287 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3QSJPSHKPB" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-05-23 10:28:18.9287 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3QSJPSHKPB" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-05-23 10:28:18.9287 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3QSJPSHKPB" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-05-23 10:28:18.9287 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3QSJPSHKPB" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-05-23 10:28:18.9287 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3QSJPSHKPB" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-05-23 10:28:18.9287 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3QSJPSHKPB" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-05-23 10:28:18.9287 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3QSJPSHKPB" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-05-23 10:28:18.9287 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3QSJPSHKPB" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-05-23 10:28:18.9287 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3QSJPSHKPB" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-05-23 10:28:18.9287 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3QSJPSHKPB" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-05-23 10:28:18.9287 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3QSJPSHKPB" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-05-23 10:28:18.9287 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3QSJPSHKPB" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-05-23 10:28:18.9287 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3QSJPSHKPB" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-05-23 10:28:18.9287 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3QSJPSHKPB" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-05-23 10:28:18.9287 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3QSJPSHKPB" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-05-23 10:28:18.9287 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3QSJPSHKPB" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-05-23 10:28:18.9287 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3QSJPSHKPB" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-05-23 10:28:18.9287 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3QSJPSHKPB" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-05-23 10:28:18.9287 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3QSJPSHKPB" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-05-23 10:28:18.9287 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3QSJPSHKPB" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-05-23 10:28:18.9287 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3QSJPSHKPB" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-05-23 10:28:18.9287 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3QSJPSHKPB" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-05-23 10:28:18.9287 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3QSJPSHKPB" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-05-23 10:28:18.9287 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3QSJPSHKPB" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-05-23 10:28:18.9287 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3QSJPSHKPB" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-05-23 10:28:18.9287 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3QSJPSHKPB" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-05-23 10:28:18.9287 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3QSJPSHKPB" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-05-23 10:28:18.9287 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3QSJPSHKPB" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-05-23 10:28:18.9287 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3QSJPSHKPB" sending DATA frame for stream ID 5 with length 9517 and flags NONE.
2024-05-23 10:28:18.9287 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3QSJPSHKPB" sending DATA frame for stream ID 5 with length 0 and flags END_STREAM.
2024-05-23 10:28:19.0338 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3QSJPSHKPB" received HEADERS frame for stream ID 7 with length 66 and flags END_STREAM, END_HEADERS, PRIORITY.
2024-05-23 10:28:19.0338 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed.
2024-05-23 10:28:19.6371 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3QSJPSHKPB" sending HEADERS frame for stream ID 7 with length 65 and flags END_HEADERS.
2024-05-23 10:28:19.6371 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3QSJPSHKPB" sending DATA frame for stream ID 7 with length 14970 and flags NONE.
2024-05-23 10:28:19.6371 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3QSJPSHKPB" sending DATA frame for stream ID 7 with length 0 and flags END_STREAM.
2024-05-23 10:28:36.1236 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3QSJPSHKPC" sending SETTINGS frame for stream ID 0 with length 18 and flags NONE.
2024-05-23 10:28:36.1236 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3QSJPSHKPC" sending WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0.
2024-05-23 10:28:36.1236 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3QSJPSHKPC" received SETTINGS frame for stream ID 0 with length 24 and flags NONE.
2024-05-23 10:28:36.1236 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3QSJPSHKPC" sending SETTINGS frame for stream ID 0 with length 0 and flags ACK.
2024-05-23 10:28:36.1236 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3QSJPSHKPC" received WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0.
2024-05-23 10:28:36.1236 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3QSJPSHKPC" received HEADERS frame for stream ID 1 with length 372 and flags END_STREAM, END_HEADERS, PRIORITY.
2024-05-23 10:28:36.1236 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3QSJPSHKPC" received SETTINGS frame for stream ID 0 with length 0 and flags ACK.
2024-05-23 10:28:36.1236 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed.
2024-05-23 10:28:36.1877 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Authorization Filter: Before executing OnAuthorization on filter BillingAPI.Filters.AuthenticationFilter.
2024-05-23 10:28:38.5140 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Authorization Filter: After executing OnAuthorization on filter BillingAPI.Filters.AuthenticationFilter.
2024-05-23 10:28:38.5140 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Authorization Filter: Before executing OnAuthorization on filter BillingAPI.Filters.AuthorizationFilter.
2024-05-23 10:28:44.0261 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Authorization Filter: After executing OnAuthorization on filter BillingAPI.Filters.AuthorizationFilter.
2024-05-23 10:28:44.0261 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Action Filter: Before executing OnActionExecuting on filter Microsoft.AspNetCore.Mvc.ModelBinding.UnsupportedContentTypeFilter.
2024-05-23 10:28:44.0261 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Action Filter: After executing OnActionExecuting on filter Microsoft.AspNetCore.Mvc.ModelBinding.UnsupportedContentTypeFilter.
2024-05-23 10:28:44.0261 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Action Filter: Before executing OnActionExecuting on filter Microsoft.AspNetCore.Mvc.Infrastructure.ModelStateInvalidFilter.
2024-05-23 10:28:44.0261 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Action Filter: After executing OnActionExecuting on filter Microsoft.AspNetCore.Mvc.Infrastructure.ModelStateInvalidFilter.
2024-05-23 10:28:47.6656 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Action Filter: Before executing OnActionExecuted on filter Microsoft.AspNetCore.Mvc.Infrastructure.ModelStateInvalidFilter.
2024-05-23 10:28:47.6656 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Action Filter: After executing OnActionExecuted on filter Microsoft.AspNetCore.Mvc.Infrastructure.ModelStateInvalidFilter.
2024-05-23 10:28:47.6656 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Action Filter: Before executing OnActionExecuted on filter Microsoft.AspNetCore.Mvc.ModelBinding.UnsupportedContentTypeFilter.
2024-05-23 10:28:47.6656 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Action Filter: After executing OnActionExecuted on filter Microsoft.AspNetCore.Mvc.ModelBinding.UnsupportedContentTypeFilter.
2024-05-23 10:28:47.6656 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Result Filter: Before executing OnResultExecuting on filter Microsoft.AspNetCore.Mvc.Infrastructure.ClientErrorResultFilter.
2024-05-23 10:28:47.6656 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Result Filter: After executing OnResultExecuting on filter Microsoft.AspNetCore.Mvc.Infrastructure.ClientErrorResultFilter.
2024-05-23 10:28:47.6656 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Before executing action result Microsoft.AspNetCore.Mvc.OkObjectResult.
2024-05-23 10:28:51.6297 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3QSJPSHKPC" sending HEADERS frame for stream ID 1 with length 80 and flags END_HEADERS.
2024-05-23 10:28:51.6297 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3QSJPSHKPC" sending DATA frame for stream ID 1 with length 641 and flags NONE.
2024-05-23 10:28:51.6297 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | After executing action result Microsoft.AspNetCore.Mvc.OkObjectResult.
2024-05-23 10:28:51.6297 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Result Filter: Before executing OnResultExecuted on filter Microsoft.AspNetCore.Mvc.Infrastructure.ClientErrorResultFilter.
2024-05-23 10:28:51.6297 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Result Filter: After executing OnResultExecuted on filter Microsoft.AspNetCore.Mvc.Infrastructure.ClientErrorResultFilter.
2024-05-23 10:28:51.6297 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3QSJPSHKPC" received WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0.
2024-05-23 10:28:51.6297 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3QSJPSHKPC" received WINDOW_UPDATE frame for stream ID 1 with length 4 and flags 0x0.
2024-05-23 10:28:51.6379 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3QSJPSHKPC" sending DATA frame for stream ID 1 with length 0 and flags END_STREAM.
2024-05-23 10:29:05.2907 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3QSJPSHKPD" sending SETTINGS frame for stream ID 0 with length 18 and flags NONE.
2024-05-23 10:29:05.2907 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3QSJPSHKPD" sending WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0.
