2024-04-12 09:32:27.8865 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2QKLDT5LGL" received HEADERS frame for stream ID 7 with length 66 and flags END_STREAM, END_HEADERS, PRIORITY.
2024-04-12 09:32:27.8865 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed.
2024-04-12 09:32:28.6597 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2QKLDT5LGL" sending HEADERS frame for stream ID 7 with length 35 and flags END_HEADERS.
2024-04-12 09:32:28.6597 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2QKLDT5LGL" sending DATA frame for stream ID 7 with length 13015 and flags NONE.
2024-04-12 09:32:28.6597 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2QKLDT5LGL" sending DATA frame for stream ID 7 with length 0 and flags END_STREAM.
2024-04-12 09:32:43.0996 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2QKLDT5LGM" sending SETTINGS frame for stream ID 0 with length 18 and flags NONE.
2024-04-12 09:32:43.0996 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2QKLDT5LGM" sending WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0.
2024-04-12 09:32:43.0996 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2QKLDT5LGM" received SETTINGS frame for stream ID 0 with length 24 and flags NONE.
2024-04-12 09:32:43.0996 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2QKLDT5LGM" sending SETTINGS frame for stream ID 0 with length 0 and flags ACK.
2024-04-12 09:32:43.0996 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2QKLDT5LGM" received WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0.
2024-04-12 09:32:43.0996 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2QKLDT5LGM" received HEADERS frame for stream ID 1 with length 376 and flags END_STREAM, END_HEADERS, PRIORITY.
2024-04-12 09:32:43.0996 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2QKLDT5LGM" received SETTINGS frame for stream ID 0 with length 0 and flags ACK.
2024-04-12 09:32:43.0996 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed.
2024-04-12 09:32:43.1715 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Authorization Filter: Before executing OnAuthorization on filter BillingAPI.Filters.AuthenticationFilter.
2024-04-12 09:32:44.0852 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Authorization Filter: After executing OnAuthorization on filter BillingAPI.Filters.AuthenticationFilter.
2024-04-12 09:32:44.0852 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Authorization Filter: Before executing OnAuthorization on filter BillingAPI.Filters.AuthorizationFilter.
2024-04-12 09:32:44.2150 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Authorization Filter: After executing OnAuthorization on filter BillingAPI.Filters.AuthorizationFilter.
2024-04-12 09:32:44.3774 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Action Filter: Before executing OnActionExecuting on filter Microsoft.AspNetCore.Mvc.ModelBinding.UnsupportedContentTypeFilter.
