2024-06-10 09:44:23.7836 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN490F5PHPMQ" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-06-10 09:44:23.7836 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN490F5PHPMQ" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-06-10 09:44:23.7836 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN490F5PHPMQ" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-06-10 09:44:23.7836 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN490F5PHPMQ" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-06-10 09:44:23.7836 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN490F5PHPMQ" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-06-10 09:44:23.7836 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN490F5PHPMQ" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-06-10 09:44:23.7836 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN490F5PHPMQ" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-06-10 09:44:23.7836 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN490F5PHPMQ" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-06-10 09:44:23.7836 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN490F5PHPMQ" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-06-10 09:44:23.7836 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN490F5PHPMQ" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-06-10 09:44:23.7836 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN490F5PHPMQ" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-06-10 09:44:23.7836 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN490F5PHPMQ" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-06-10 09:44:23.7836 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN490F5PHPMQ" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-06-10 09:44:23.7836 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN490F5PHPMQ" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-06-10 09:44:23.7836 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN490F5PHPMQ" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-06-10 09:44:23.7836 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN490F5PHPMQ" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-06-10 09:44:23.7836 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN490F5PHPMQ" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-06-10 09:44:23.7836 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN490F5PHPMQ" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-06-10 09:44:23.7861 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN490F5PHPMQ" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-06-10 09:44:23.7861 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN490F5PHPMQ" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-06-10 09:44:23.7861 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN490F5PHPMQ" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-06-10 09:44:23.7861 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN490F5PHPMQ" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-06-10 09:44:23.7861 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN490F5PHPMQ" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-06-10 09:44:23.7861 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN490F5PHPMQ" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-06-10 09:44:23.7861 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN490F5PHPMQ" sending DATA frame for stream ID 5 with length 9517 and flags NONE.
2024-06-10 09:44:23.7861 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN490F5PHPMQ" sending DATA frame for stream ID 5 with length 0 and flags END_STREAM.
2024-06-10 09:44:23.8824 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN490F5PHPMQ" received HEADERS frame for stream ID 7 with length 74 and flags END_STREAM, END_HEADERS, PRIORITY.
2024-06-10 09:44:23.8824 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed.
2024-06-10 09:44:24.6251 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN490F5PHPMQ" sending HEADERS frame for stream ID 7 with length 35 and flags END_HEADERS.
2024-06-10 09:44:24.6251 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN490F5PHPMQ" sending DATA frame for stream ID 7 with length 15554 and flags NONE.
2024-06-10 09:44:24.6251 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN490F5PHPMQ" sending DATA frame for stream ID 7 with length 0 and flags END_STREAM.
2024-06-10 09:45:21.9593 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN490F5PHPMR" sending SETTINGS frame for stream ID 0 with length 18 and flags NONE.
2024-06-10 09:45:21.9593 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN490F5PHPMR" sending WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0.
2024-06-10 09:45:21.9593 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN490F5PHPMR" received SETTINGS frame for stream ID 0 with length 24 and flags NONE.
