2024-04-18 12:22:12.0252 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2VEG6L860S" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-18 12:22:12.0252 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2VEG6L860S" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-18 12:22:12.0252 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2VEG6L860S" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-18 12:22:12.0252 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2VEG6L860S" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-18 12:22:12.0252 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2VEG6L860S" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-18 12:22:12.0252 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2VEG6L860S" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-18 12:22:12.0252 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2VEG6L860S" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-18 12:22:12.0319 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2VEG6L860S" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-18 12:22:12.0319 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2VEG6L860S" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-18 12:22:12.0319 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2VEG6L860S" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-18 12:22:12.0319 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2VEG6L860S" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-18 12:22:12.0319 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2VEG6L860S" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-18 12:22:12.0319 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2VEG6L860S" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-18 12:22:12.0319 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2VEG6L860S" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-18 12:22:12.0319 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2VEG6L860S" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-18 12:22:12.0319 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2VEG6L860S" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-18 12:22:12.0319 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2VEG6L860S" sending DATA frame for stream ID 5 with length 9517 and flags NONE.
2024-04-18 12:22:12.0319 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2VEG6L860S" sending DATA frame for stream ID 5 with length 0 and flags END_STREAM.
2024-04-18 12:22:12.1193 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2VEG6L860S" received HEADERS frame for stream ID 7 with length 66 and flags END_STREAM, END_HEADERS, PRIORITY.
2024-04-18 12:22:12.1237 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed.
2024-04-18 12:22:14.3148 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2VEG6L860S" sending HEADERS frame for stream ID 7 with length 65 and flags END_HEADERS.
2024-04-18 12:22:14.3148 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2VEG6L860S" sending DATA frame for stream ID 7 with length 13015 and flags NONE.
2024-04-18 12:22:14.3148 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2VEG6L860S" sending DATA frame for stream ID 7 with length 0 and flags END_STREAM.
2024-04-18 12:24:26.0478 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2VEHGTSVS2" sending SETTINGS frame for stream ID 0 with length 18 and flags NONE.
2024-04-18 12:24:26.0478 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2VEHGTSVS2" sending WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0.
2024-04-18 12:24:26.0478 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2VEHGTSVS2" received SETTINGS frame for stream ID 0 with length 24 and flags NONE.
2024-04-18 12:24:26.0478 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2VEHGTSVS2" sending SETTINGS frame for stream ID 0 with length 0 and flags ACK.
2024-04-18 12:24:26.0478 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2VEHGTSVS2" received WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0.
2024-04-18 12:24:26.0478 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2VEHGTSVS2" received HEADERS frame for stream ID 1 with length 454 and flags END_STREAM, END_HEADERS, PRIORITY.
2024-04-18 12:24:26.0854 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2VEHGTSVS2" received SETTINGS frame for stream ID 0 with length 0 and flags ACK.
2024-04-18 12:24:26.1181 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed.
2024-04-18 12:24:26.5822 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2VEHGTSVS2" sending HEADERS frame for stream ID 1 with length 66 and flags END_HEADERS.
2024-04-18 12:24:26.8012 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2VEHGTSVS2" sending DATA frame for stream ID 1 with length 1024 and flags NONE.
2024-04-18 12:24:26.8012 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2VEHGTSVS2" sending DATA frame for stream ID 1 with length 1024 and flags NONE.
2024-04-18 12:24:26.8012 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2VEHGTSVS2" sending DATA frame for stream ID 1 with length 1024 and flags NONE.
2024-04-18 12:24:26.8012 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2VEHGTSVS2" sending DATA frame for stream ID 1 with length 1024 and flags NONE.
2024-04-18 12:24:26.8143 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2VEHGTSVS2" sending DATA frame for stream ID 1 with length 992 and flags NONE.
2024-04-18 12:24:26.8143 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2VEHGTSVS2" sending DATA frame for stream ID 1 with length 65 and flags NONE.
2024-04-18 12:24:26.8143 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2VEHGTSVS2" sending DATA frame for stream ID 1 with length 16 and flags NONE.
2024-04-18 12:24:26.8335 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2VEHGTSVS2" sending DATA frame for stream ID 1 with length 0 and flags END_STREAM.
2024-04-18 12:24:27.4315 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2VEHGTSVS2" received HEADERS frame for stream ID 3 with length 109 and flags END_STREAM, END_HEADERS, PRIORITY.
