224-04-09 10:45:43.2977 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2OAGB8SEG0" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
224-04-09 10:45:43.2977 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2OAGB8SEG0" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
224-04-09 10:45:43.2977 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2OAGB8SEG0" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
224-04-09 10:45:43.2977 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2OAGB8SEG0" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
224-04-09 10:45:43.2977 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2OAGB8SEG0" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
224-04-09 10:45:43.2977 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2OAGB8SEG0" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
224-04-09 10:45:43.2977 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2OAGB8SEG0" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
224-04-09 10:45:43.2977 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2OAGB8SEG0" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
224-04-09 10:45:43.2977 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2OAGB8SEG0" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
224-04-09 10:45:43.2977 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2OAGB8SEG0" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
224-04-09 10:45:43.2977 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2OAGB8SEG0" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
224-04-09 10:45:43.2977 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2OAGB8SEG0" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
224-04-09 10:45:43.2977 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2OAGB8SEG0" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
224-04-09 10:45:43.2977 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2OAGB8SEG0" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
224-04-09 10:45:43.2977 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2OAGB8SEG0" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
224-04-09 10:45:43.2977 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2OAGB8SEG0" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
224-04-09 10:45:43.2977 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2OAGB8SEG0" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
224-04-09 10:45:43.2977 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2OAGB8SEG0" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
224-04-09 10:45:43.2977 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2OAGB8SEG0" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
224-04-09 10:45:43.2977 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2OAGB8SEG0" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
224-04-09 10:45:43.2977 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2OAGB8SEG0" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
224-04-09 10:45:43.3127 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2OAGB8SEG0" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
224-04-09 10:45:43.3127 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2OAGB8SEG0" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
224-04-09 10:45:43.3127 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2OAGB8SEG0" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
224-04-09 10:45:43.3127 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2OAGB8SEG0" sending DATA frame for stream ID 5 with length 9517 and flags NONE.
224-04-09 10:45:43.3127 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2OAGB8SEG0" sending DATA frame for stream ID 5 with length 0 and flags END_STREAM.
224-04-09 10:45:43.3994 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2OAGB8SEG1" sending SETTINGS frame for stream ID 0 with length 18 and flags NONE.
224-04-09 10:45:43.3994 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2OAGB8SEG1" sending WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0.
224-04-09 10:45:43.3994 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2OAGB8SEG1" received SETTINGS frame for stream ID 0 with length 24 and flags NONE.
224-04-09 10:45:43.3994 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2OAGB8SEG1" sending SETTINGS frame for stream ID 0 with length 0 and flags ACK.
224-04-09 10:45:43.3994 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2OAGB8SEG1" received WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0.
224-04-09 10:45:43.3994 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2OAGB8SEG1" received HEADERS frame for stream ID 1 with length 367 and flags END_STREAM, END_HEADERS, PRIORITY.
224-04-09 10:45:43.3994 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2OAGB8SEG1" received SETTINGS frame for stream ID 0 with length 0 and flags ACK.
224-04-09 10:45:43.4068 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed.
224-04-09 10:45:43.7691 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2OAGB8SEG1" sending HEADERS frame for stream ID 1 with length 73 and flags END_HEADERS.
224-04-09 10:45:43.7691 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2OAGB8SEG1" sending DATA frame for stream ID 1 with length 298 and flags NONE.
224-04-09 10:45:43.7691 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2OAGB8SEG1" sending DATA frame for stream ID 1 with length 0 and flags END_STREAM.
224-04-09 10:45:59.1642 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2OAGB8SEG2" sending SETTINGS frame for stream ID 0 with length 18 and flags NONE.
224-04-09 10:45:59.1642 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2OAGB8SEG2" sending WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0.
224-04-09 10:45:59.1642 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2OAGB8SEG2" received SETTINGS frame for stream ID 0 with length 24 and flags NONE.
224-04-09 10:45:59.1642 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2OAGB8SEG2" sending SETTINGS frame for stream ID 0 with length 0 and flags ACK.
